State,State Abbreviation,,Closed K-12 public schools,,Closed other non-essential businesses,,Closed restaurants,,Closed gyms,,Closed movie theaters,,Closed bars,,Closed casinos
Nevada,NV,closing_schools,3/16/2020,closing_nebusinesses,3/21/2020,closing_restaurants,3/21/2020,closing_gyms,3/21/2020,closing_movietheaters,3/21/2020,closing_bars,3/21/2020,closing_casinos,3/17/2020
New Hampshire,NH,closing_schools,3/16/2020,closing_nebusinesses,3/28/2020,closing_restaurants,3/16/2020,closing_gyms,3/28/2020,closing_movietheaters,3/28/2020,closing_bars,3/16/2020,closing_casinos,0
New Jersey,NJ,closing_schools,3/18/2020,closing_nebusinesses,3/21/2020,closing_restaurants,3/16/2020,closing_gyms,3/16/2020,closing_movietheaters,3/16/2020,closing_bars,3/16/2020,closing_casinos,3/16/2020
New Mexico,NM,closing_schools,3/16/2020,closing_nebusinesses,3/24/2020,closing_restaurants,3/20/2020,closing_gyms,3/19/2020,closing_movietheaters,3/19/2020,closing_bars,3/19/2020,closing_casinos,3/16/2020
New York,NY,closing_schools,3/18/2020,closing_nebusinesses,3/22/2020,closing_restaurants,3/17/2020,closing_gyms,3/16/2020,closing_movietheaters,3/16/2020,closing_bars,3/16/2020,closing_casinos,3/16/2020
North Carolina,NC,closing_schools,3/16/2020,closing_nebusinesses,3/30/2020,closing_restaurants,3/18/2020,closing_gyms,3/25/2020,closing_movietheaters,3/25/2020,closing_bars,3/17/2020,closing_casinos,0
North Dakota,ND,closing_schools,3/16/2020,closing_nebusinesses,3/20/2020,closing_restaurants,3/21/2020,closing_gyms,3/20/2020,closing_movietheaters,3/20/2020,closing_bars,3/20/2020,closing_casinos,0
Ohio,OH,closing_schools,3/17/2020,closing_nebusinesses,3/24/2020,closing_restaurants,3/16/2020,closing_gyms,3/17/2020,closing_movietheaters,3/17/2020,closing_bars,3/15/2020,closing_casinos,0
Oklahoma,OK,closing_schools,3/17/2020,closing_nebusinesses,4/1/2020,closing_restaurants,4/1/2020,closing_gyms,4/1/2020,closing_movietheaters,4/1/2020,closing_bars,4/1/2020,closing_casinos,0
Oregon,OR,closing_schools,3/16/2020,closing_nebusinesses,3/23/2020,closing_restaurants,3/18/2020,closing_gyms,3/24/2020,closing_movietheaters,3/24/2020,closing_bars,3/17/2020,closing_casinos,0
Pennsylvania,PA,closing_schools,3/16/2020,closing_nebusinesses,3/21/2020,closing_restaurants,3/18/2020,closing_gyms,3/21/2020,closing_movietheaters,3/21/2020,closing_bars,3/18/2020,closing_casinos,3/17/2020
Rhode Island,RI,closing_schools,0,closing_nebusinesses,3/30/2020,closing_restaurants,3/18/2020,closing_gyms,3/23/2020,closing_movietheaters,3/23/2020,closing_bars,3/17/2020,closing_casinos,3/22/2020
South Carolina,SC,closing_schools,3/16/2020,closing_nebusinesses,4/1/2020,closing_restaurants,3/19/2020,closing_gyms,4/1/2020,closing_movietheaters,4/1/2020,closing_bars,3/18/2020,closing_casinos,4/1/2020
South Dakota,SD,closing_schools,3/16/2020,closing_nebusinesses,0,closing_restaurants,0,closing_gyms,0,closing_movietheaters,0,closing_bars,0,closing_casinos,0
Tennessee,TN,closing_schools,3/20/2020,closing_nebusinesses,4/1/2020,closing_restaurants,3/24/2020,closing_gyms,3/23/2020,closing_movietheaters,3/23/2020,closing_bars,3/23/2020,closing_casinos,0
Texas,TX,closing_schools,3/21/2020,closing_nebusinesses,4/2/2020,closing_restaurants,3/21/2020,closing_gyms,3/21/2020,closing_movietheaters,4/2/2020,closing_bars,3/21/2020,closing_casinos,0
Utah,UT,closing_schools,3/16/2020,closing_nebusinesses,3/27/2020,closing_restaurants,3/20/2020,closing_gyms,3/27/2020,closing_movietheaters,3/27/2020,closing_bars,3/19/2020,closing_casinos,0
Vermont,VT,closing_schools,3/18/2020,closing_nebusinesses,3/25/2020,closing_restaurants,3/18/2020,closing_gyms,3/23/2020,closing_movietheaters,3/25/2020,closing_bars,3/17/2020,closing_casinos,0
Virginia,VA,closing_schools,3/16/2020,closing_nebusinesses,3/25/2020,closing_restaurants,3/26/2020,closing_gyms,3/25/2020,closing_movietheaters,3/25/2020,closing_bars,3/25/2020,closing_casinos,0
Washington,WA,closing_schools,3/17/2020,closing_nebusinesses,3/25/2020,closing_restaurants,3/16/2020,closing_gyms,3/16/2020,closing_movietheaters,3/16/2020,closing_bars,3/17/2020,closing_casinos,0
West Virginia,WV,closing_schools,3/16/2020,closing_nebusinesses,3/24/2020,closing_restaurants,3/19/2020,closing_gyms,3/19/2020,closing_movietheaters,3/24/2020,closing_bars,3/18/2020,closing_casinos,3/18/2020
Wisconsin,WI,closing_schools,3/18/2020,closing_nebusinesses,3/25/2020,closing_restaurants,3/18/2020,closing_gyms,3/25/2020,closing_movietheaters,3/25/2020,closing_bars,3/17/2020,closing_casinos,0
Wyoming,WY,closing_schools,3/19/2020,closing_nebusinesses,3/19/2020,closing_restaurants,3/19/2020,closing_gyms,3/19/2020,closing_movietheaters,3/19/2020,closing_bars,3/19/2020,closing_casinos,0
