"State","State.Abbreviation","Policy","Date","Group"
"Montana","MT","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Nevada","NV","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"New Hampshire","NH","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"New Hampshire","NH","Closed.restaurants",2020-03-16,"Lockdown"
"New Hampshire","NH","Closed.bars",2020-03-16,"Lockdown"
"New Jersey","NJ","Closed.restaurants",2020-03-16,"Lockdown"
"New Jersey","NJ","Closed.gyms",2020-03-16,"Lockdown"
"New Jersey","NJ","Closed.movie.theaters",2020-03-16,"Lockdown"
"New Jersey","NJ","Closed.bars",2020-03-16,"Lockdown"
"New Jersey","NJ","Closed.casinos",2020-03-16,"Lockdown"
"New Mexico","NM","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"New Mexico","NM","Closed.casinos",2020-03-16,"Lockdown"
"New York","NY","Closed.gyms",2020-03-16,"Lockdown"
"New York","NY","Closed.movie.theaters",2020-03-16,"Lockdown"
"New York","NY","Closed.bars",2020-03-16,"Lockdown"
"New York","NY","Closed.casinos",2020-03-16,"Lockdown"
"North Carolina","NC","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"North Dakota","ND","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Ohio","OH","Closed.restaurants",2020-03-16,"Lockdown"
"Oregon","OR","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Pennsylvania","PA","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"South Carolina","SC","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"South Dakota","SD","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Utah","UT","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Virginia","VA","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Washington","WA","Closed.restaurants",2020-03-16,"Lockdown"
"Washington","WA","Closed.gyms",2020-03-16,"Lockdown"
"Washington","WA","Closed.movie.theaters",2020-03-16,"Lockdown"
"West Virginia","WV","State.of.emergency.issued",2020-03-16,"Lockdown"
"West Virginia","WV","Closed.K.12.public.schools",2020-03-16,"Lockdown"
"Arkansas","AR","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Arkansas","AR","Closed.casinos",2020-03-17,"Lockdown"
"Colorado","CO","Closed.restaurants",2020-03-17,"Lockdown"
"Colorado","CO","Closed.gyms",2020-03-17,"Lockdown"
"Colorado","CO","Closed.movie.theaters",2020-03-17,"Lockdown"
"Colorado","CO","Closed.bars",2020-03-17,"Lockdown"
"Colorado","CO","Closed.casinos",2020-03-17,"Lockdown"
"Connecticut","CT","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"District of Columbia","DC","Closed.gyms",2020-03-17,"Lockdown"
"District of Columbia","DC","Closed.movie.theaters",2020-03-17,"Lockdown"
"Florida","FL","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Florida","FL","Closed.bars",2020-03-17,"Lockdown"
"Hawaii","HI","Closed.restaurants",2020-03-17,"Lockdown"
"Hawaii","HI","Closed.movie.theaters",2020-03-17,"Lockdown"
"Hawaii","HI","Closed.bars",2020-03-17,"Lockdown"
"Illinois","IL","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Iowa","IA","Closed.restaurants",2020-03-17,"Lockdown"
"Iowa","IA","Closed.gyms",2020-03-17,"Lockdown"
"Iowa","IA","Closed.movie.theaters",2020-03-17,"Lockdown"
"Iowa","IA","Closed.bars",2020-03-17,"Lockdown"
"Kentucky","KY","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Louisiana","LA","Closed.restaurants",2020-03-17,"Lockdown"
"Louisiana","LA","Closed.gyms",2020-03-17,"Lockdown"
"Louisiana","LA","Closed.movie.theaters",2020-03-17,"Lockdown"
"Louisiana","LA","Closed.bars",2020-03-17,"Lockdown"
"Louisiana","LA","Closed.casinos",2020-03-17,"Lockdown"
"Massachusetts","MA","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Massachusetts","MA","Closed.restaurants",2020-03-17,"Lockdown"
"Massachusetts","MA","Closed.bars",2020-03-17,"Lockdown"
"Minnesota","MN","Closed.restaurants",2020-03-17,"Lockdown"
"Minnesota","MN","Closed.gyms",2020-03-17,"Lockdown"
"Minnesota","MN","Closed.movie.theaters",2020-03-17,"Lockdown"
"Minnesota","MN","Closed.bars",2020-03-17,"Lockdown"
"Missouri","MO","Closed.casinos",2020-03-17,"Lockdown"
"Nevada","NV","Closed.casinos",2020-03-17,"Lockdown"
"New York","NY","Closed.restaurants",2020-03-17,"Lockdown"
"North Carolina","NC","Closed.bars",2020-03-17,"Lockdown"
