"State","State.Abbreviation","Policy","Date","Group"
"California","CA","closing_nebusinesses","3/19/2020","Lockdown"
"Colorado","CO","closing_nebusinesses","3/19/2020","Lockdown"
"Connecticut","CT","closing_nebusinesses","3/23/2020","Lockdown"
"Delaware","DE","closing_nebusinesses","3/24/2020","Lockdown"
"District of Columbia","DC","closing_nebusinesses","3/25/2020","Lockdown"
"Florida","FL","closing_nebusinesses","4/3/2020","Lockdown"
"Georgia","GA","closing_nebusinesses","4/3/2020","Lockdown"
"Hawaii","HI","closing_nebusinesses","3/25/2020","Lockdown"
"Idaho","ID","closing_nebusinesses","3/25/2020","Lockdown"
"Illinois","IL","closing_nebusinesses","3/21/2020","Lockdown"
"Indiana","IN","closing_nebusinesses","3/25/2020","Lockdown"
"Iowa","IA","closing_nebusinesses","3/26/2020","Lockdown"
"Kansas","KS","closing_nebusinesses","3/30/2020","Lockdown"
"Kentucky","KY","closing_nebusinesses","3/26/2020","Lockdown"
"Louisiana","LA","closing_nebusinesses","3/23/2020","Lockdown"
"Maine","ME","closing_nebusinesses","3/25/2020","Lockdown"
"Maryland","MD","closing_nebusinesses","3/23/2020","Lockdown"
"Massachusetts","MA","closing_nebusinesses","3/24/2020","Lockdown"
"Michigan","MI","closing_nebusinesses","3/24/2020","Lockdown"
"Minnesota","MN","closing_nebusinesses","3/28/2020","Lockdown"
"Mississippi","MS","closing_nebusinesses","4/3/2020","Lockdown"
"Missouri","MO","closing_nebusinesses","4/3/2020","Lockdown"
"Montana","MT","closing_nebusinesses","3/28/2020","Lockdown"
"Nebraska","NE","closing_nebusinesses","4/9/2020","Lockdown"
"Nevada","NV","closing_nebusinesses","3/21/2020","Lockdown"
"New Hampshire","NH","closing_nebusinesses","3/28/2020","Lockdown"
"New Jersey","NJ","closing_nebusinesses","3/21/2020","Lockdown"
"New Mexico","NM","closing_nebusinesses","3/24/2020","Lockdown"
"New York","NY","closing_nebusinesses","3/22/2020","Lockdown"
"North Carolina","NC","closing_nebusinesses","3/30/2020","Lockdown"
"North Dakota","ND","closing_nebusinesses","3/20/2020","Lockdown"
"Ohio","OH","closing_nebusinesses","3/24/2020","Lockdown"
"Oklahoma","OK","closing_nebusinesses","4/1/2020","Lockdown"
"Oregon","OR","closing_nebusinesses","3/23/2020","Lockdown"
"Pennsylvania","PA","closing_nebusinesses","3/21/2020","Lockdown"
"Rhode Island","RI","closing_nebusinesses","3/30/2020","Lockdown"
"South Carolina","SC","closing_nebusinesses","4/1/2020","Lockdown"
"Tennessee","TN","closing_nebusinesses","4/1/2020","Lockdown"
"Texas","TX","closing_nebusinesses","4/2/2020","Lockdown"
"Utah","UT","closing_nebusinesses","3/27/2020","Lockdown"
"Vermont","VT","closing_nebusinesses","3/25/2020","Lockdown"
"Virginia","VA","closing_nebusinesses","3/25/2020","Lockdown"
"Washington","WA","closing_nebusinesses","3/25/2020","Lockdown"
"West Virginia","WV","closing_nebusinesses","3/24/2020","Lockdown"
"Wisconsin","WI","closing_nebusinesses","3/25/2020","Lockdown"
"Wyoming","WY","closing_nebusinesses","3/19/2020","Lockdown"
"Alabama","AL","closing_movietheaters","3/28/2020","Lockdown"
"Alaska","AK","closing_movietheaters","3/18/2020","Lockdown"
"Arizona","AZ","closing_movietheaters","3/21/2020","Lockdown"
