State,State Abbreviation,,Began to reopen businesses statewide,,Reopened restaurants,,Reopened gyms,,Reopened movie theaters,,Reopened hair salons/barber shops,,Reopened other non-essential retail,,Reopened bars,,Reopened casinos
Mississippi,MS,reopening_business,4/27/2020,reopening_restaurants,5/7/2020,reopening_gyms,5/11/2020,reopening_movietheaters,6/1/2020,reopening_hairsalons,5/11/2020,reopening_neretail,4/27/2020,reopening_bars,6/1/2020,reopening_casinos,5/21/2020
Missouri,MO,reopening_business,5/4/2020,reopening_restaurants,5/4/2020,reopening_gyms,5/4/2020,reopening_movietheaters,5/4/2020,reopening_hairsalons,5/4/2020,reopening_neretail,5/4/2020,reopening_bars,5/4/2020,reopening_casinos,6/1/2020
Montana,MT,reopening_business,4/27/2020,reopening_restaurants,5/4/2020,reopening_gyms,5/15/2020,reopening_movietheaters,5/15/2020,reopening_hairsalons,4/27/2020,reopening_neretail,4/27/2020,reopening_bars,5/4/2020,reopening_casinos,5/4/2020
Nebraska,NE,reopening_business,6/1/2020,reopening_restaurants,6/1/2020,reopening_gyms,6/1/2020,reopening_movietheaters,6/22/2020,reopening_hairsalons,6/1/2020,reopening_neretail,6/22/2020,reopening_bars,6/22/2020,reopening_casinos,0
Nevada,NV,reopening_business,5/9/2020,reopening_restaurants,5/9/2020,reopening_gyms,5/29/2020,reopening_movietheaters,5/29/2020,reopening_hairsalons,5/9/2020,reopening_neretail,5/9/2020,reopening_bars,5/29/2020,reopening_casinos,6/4/2020
New Hampshire,NH,reopening_business,5/11/2020,reopening_restaurants,5/18/2020,reopening_gyms,6/15/2020,reopening_movietheaters,6/29/2020,reopening_hairsalons,5/11/2020,reopening_neretail,5/11/2020,reopening_bars,6/15/2020,reopening_casinos,0
New Jersey,NJ,reopening_business,5/18/2020,reopening_restaurants,6/15/2020,reopening_gyms,9/1/2020,reopening_movietheaters,9/4/2020,reopening_hairsalons,6/22/2020,reopening_neretail,6/15/2020,reopening_bars,6/15/2020,reopening_casinos,6/26/2020
New Mexico,NM,reopening_business,5/16/2020,reopening_restaurants,5/27/2020,reopening_gyms,6/1/2020,reopening_movietheaters,3/24/2021,reopening_hairsalons,6/1/2020,reopening_neretail,5/16/2020,reopening_bars,6/2/2021,reopening_casinos,3/24/2021
New York,NY,reopening_business,6/8/2020,reopening_restaurants,6/22/2020,reopening_gyms,9/2/2020,reopening_movietheaters,3/5/2021,reopening_hairsalons,6/22/2020,reopening_neretail,6/8/2020,reopening_bars,5/3/2021,reopening_casinos,9/9/2020
North Carolina,NC,reopening_business,5/8/2020,reopening_restaurants,5/22/2020,reopening_gyms,9/4/2020,reopening_movietheaters,10/2/2020,reopening_hairsalons,5/22/2020,reopening_neretail,5/8/2020,reopening_bars,3/26/2021,reopening_casinos,0
